"filename", "language", "TypeScript", "Vue", "SCSS", "JavaScript React", "CSS", "svg", "JSON", "JavaScript", "HTML", "Markdown", "Ignore", "XML", "Groovy", "comment", "blank", "total"
"d:\Studies\Semester8\Bakalauras\health-system\mobile\package.json", "JSON", 0, 0, 0, 0, 0, 0, 60, 0, 0, 0, 0, 0, 0, 0, 1, 61
"d:\Studies\Semester8\Bakalauras\health-system\mobile\tools\assets\thumbnail.svg", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\tools\dot.gitignore", "Ignore", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 5, 5, 35
"d:\Studies\Semester8\Bakalauras\health-system\mobile\tools\vscode.extensions.json", "JSON", 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\Studies\Semester8\Bakalauras\health-system\mobile\tsconfig.json", "JSON", 0, 0, 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 25, 0, 40
"d:\Studies\Semester8\Bakalauras\health-system\mobile\types\env.d.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\Studies\Semester8\Bakalauras\health-system\mobile\types\references.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\Studies\Semester8\Bakalauras\health-system\mobile\types\shims.vue.d.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4
"d:\Studies\Semester8\Bakalauras\health-system\mobile\webpack.config.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 243, 0, 0, 0, 0, 0, 97, 18, 358
"d:\Studies\Semester8\Bakalauras\health-system\server\.eslintrc.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"d:\Studies\Semester8\Bakalauras\health-system\server\config.json", "JSON", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Studies\Semester8\Bakalauras\health-system\server\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 3185, 0, 0, 0, 0, 0, 0, 0, 1, 3186
"d:\Studies\Semester8\Bakalauras\health-system\server\package.json", "JSON", 0, 0, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 1, 42
"d:\Studies\Semester8\Bakalauras\health-system\server\src\app.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 8, 56
