"filename", "language", "TypeScript", "SCSS", "Vue", "JSON", "svg", "CSS", "JavaScript", "JavaScript React", "HTML", "Markdown", "XML", "Groovy", "Ignore", "comment", "blank", "total"
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\Android\src\main\res\values-v21\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\Android\src\main\res\values-v21\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 3, 5, 28
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\Android\src\main\res\values-v29\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 1, 3, 12
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\Android\src\main\res\values\colors.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\Android\src\main\res\values\strings.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 5
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\Android\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 3, 11, 43
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\iOS\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\iOS\Assets.xcassets\Contents.json", "JSON", 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\iOS\Assets.xcassets\LaunchScreen.AspectFill.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\iOS\Assets.xcassets\LaunchScreen.Center.imageset\Contents.json", "JSON", 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23
"d:\Studies\Semester8\Bakalauras\health-system\mobile\App_Resources\iOS\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 0, 0, 1, 1, 54
"d:\Studies\Semester8\Bakalauras\health-system\mobile\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 0, 0, 0, 0, 16, 45
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\app.scss", "SCSS", 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 59
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\app.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 12, 61
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\App.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 4, 11
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\App.vue", "Vue", 0, 0, 163, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 12, 198
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\Login.vue", "Vue", 0, 0, 297, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 315
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\Selector.vue", "Vue", 0, 0, 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 56
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\SelectorModal.vue", "Vue", 0, 0, 108, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 128
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\drawerContent.vue", "Vue", 0, 0, 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 81
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\components\sideDrawer.vue", "Vue", 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 18
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\mixins\sideDrawer.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\routes\index.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 30
"d:\Studies\Semester8\Bakalauras\health-system\mobile\app\services\api.service.js", "JavaScript", 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 11
